Provider,Specialty,City,State,Payments
"ZACHARIAS, ALAN S",Neurology,BOULDER,CO,"$96,773.40"
"RAJPAL, SHARAD",Neurosurgery,BOULDER,CO,"$96,241.28"
"MORRISSEY, DAVID D",Otolaryngology,BOULDER,CO,"$94,751.30"
"MINOR, THOMAS A",Pulmonary Disease,BOULDER,CO,"$93,523.79"
"JENSEN, LORI L",Hematology/Oncology,BOULDER,CO,"$91,060.91"
"FOX, JENNY R",Hematology/Oncology,BOULDER,CO,"$88,071.20"
"GRAHAM, CONNOR W",Internal Medicine,BOULDER,CO,"$87,122.77"
"KOMPALA, SUSHILA",Diagnostic Radiology,BOULDER,CO,"$82,831.17"
"PEPPER, MICHELLE",Physical Medicine and Rehabilitation,BOULDER,CO,"$80,866.58"
"WILCOX, THOMAS M",Internal Medicine,BOULDER,CO,"$80,596.94"
"LEVINE, ROBERT H",Gastroenterology,BOULDER,CO,"$79,326.08"
"THOMPSON, ROY W",Cardiology,BOULDER,CO,"$78,574.77"
"FOX, RICHARD J",General Surgery,BOULDER,CO,"$77,371.62"
"HANKS, ANNE V",Physical Therapist,BOULDER,CO,"$77,172.03"
"ISUANI, GUSTAVO L",Diagnostic Radiology,BOULDER,CO,"$77,012.27"
"STJERNHOLM, MELVIN R",Endocrinology,BOULDER,CO,"$76,066.30"
"MCCORMACK, DONALD",Ophthalmology,BOULDER,CO,"$75,422.95"
"OPPENHEIMER, DAVID A",Diagnostic Radiology,BOULDER,CO,"$75,099.90"
"MONTBRIAND, JOEL R",Gastroenterology,BOULDER,CO,"$75,021.59"
"STILP, SONJA K",Physical Medicine and Rehabilitation,BOULDER,CO,"$73,308.33"
"MCCARTY, MICHAEL C",Family Practice,BOULDER,CO,"$73,307.05"
"RYAN, MELANIE S",Internal Medicine,BOULDER,CO,"$72,866.39"
"HONG, STEVEN R",Dermatology,BOULDER,CO,"$72,559.02"
"HODEL, ANN",Physical Therapist,BOULDER,CO,"$71,077.14"
"REISH, ALEX G",Physical Medicine and Rehabilitation,BOULDER,CO,"$70,086.58"
"LEVINE, RICHARD G",Dermatology,BOULDER,CO,"$67,698.37"
"FORSYTHE, ROBERT C",Pathology,BOULDER,CO,"$66,863.52"
"YURTH, ELIZABETH F",Physical Medicine and Rehabilitation,BOULDER,CO,"$65,692.92"
"TANNER, DAVID E",Physical Medicine and Rehabilitation,BOULDER,CO,"$64,143.11"
"QUE, LEON T",Psychiatry,BOULDER,CO,"$64,009.39"
"BACHMANN, PETER",Dermatology,BOULDER,CO,"$63,324.66"
"CARTER, JEFFREY E",Internal Medicine,BOULDER,CO,"$62,332.15"
"GRADY, JAMES R",Internal Medicine,BOULDER,CO,"$62,325.45"
"BARNES, MARK F",Physical Therapist,BOULDER,CO,"$61,987.57"
"LAMOUREUX, CHRISTINE A",Diagnostic Radiology,BOULDER,CO,"$61,789.96"
"MILLER, JANICE A",Neurology,BOULDER,CO,"$60,790.03"
"KAROWE, MATTHEW W",Gastroenterology,BOULDER,CO,"$60,589.66"
"DELGADO, JOSE M",Internal Medicine,BOULDER,CO,"$60,383.13"
"PAGETT, CRISTINA M",Internal Medicine,BOULDER,CO,"$58,863.27"
"JELINEK, ROBERT A",Podiatry,BOULDER,CO,"$58,612.70"
"MORGAN, DOUGLAS C",Internal Medicine,BOULDER,CO,"$58,564.87"
"KAYE, PETER S",Gastroenterology,BOULDER,CO,"$58,316.51"
"KOCH, ROBERT B",Orthopedic Surgery,BOULDER,CO,"$58,192.69"
"KING, PAUL D",Diagnostic Radiology,BOULDER,CO,"$58,167.41"
"VOSS, LYNN A",Orthopedic Surgery,BOULDER,CO,"$57,989.93"
"NICHOLS, ROGER D",Diagnostic Radiology,BOULDER,CO,"$57,095.48"
"FINER, RICHARD M",Diagnostic Radiology,BOULDER,CO,"$56,666.09"
"YOUNG, JOSEPH T",Emergency Medicine,BOULDER,CO,"$56,224.95"
"GRANTHAM, JOHN G",Diagnostic Radiology,BOULDER,CO,"$55,216.94"
"HOWLAND, WILLIAM W",Pathology,BOULDER,CO,"$54,609.51"
"LAYNE, DEBRA J",Physical Therapist,BOULDER,CO,"$54,574.45"
"HELGANS, ROBERT E",Diagnostic Radiology,BOULDER,CO,"$54,412.67"
"HAIMES, MARK D",Internal Medicine,BOULDER,CO,"$53,110.01"
"SOLON, PETER C",Clinical Psychologist,BOULDER,CO,"$52,993.78"
"NUSSER, CHRISTOPHER A",Diagnostic Radiology,BOULDER,CO,"$52,972.28"
"EMDUR, JOSHUA A",Family Practice,BOULDER,CO,"$52,547.98"
"KEIDAN, BENJAMIN J",Internal Medicine,BOULDER,CO,"$51,437.67"
"BENNETT, KRISTIE M",Physical Therapist,BOULDER,CO,"$51,093.86"
"RYAN, COLLEEN M",Family Practice,BOULDER,CO,"$50,756.61"
"KING, MARK D",Infectious Disease,BOULDER,CO,"$49,833.21"
"SHOVE, LAURA B",Physical Therapist,BOULDER,CO,"$49,782.91"
"KARAGEORGE, KRYSTIE",Family Practice,BOULDER,CO,"$49,471.11"
"TANTUM, SENECA W",Physical Therapist,BOULDER,CO,"$49,365.61"
"PACOCHA, CATHERINE W",Physician Assistant,BOULDER,CO,"$49,253.45"
"VANBUSKIRK, CATHLEEN S",Orthopedic Surgery,BOULDER,CO,"$49,111.43"
"FANESTIL, BRADLEY D",Internal Medicine,BOULDER,CO,"$48,779.43"
"ARENDS, JACLYN C",Physical Medicine and Rehabilitation,BOULDER,CO,"$48,313.42"
"VASTENBURG, ANTOINETTE",Physical Therapist,BOULDER,CO,"$47,948.17"
"DENHAM, MELODY F",Anesthesiology,BOULDER,CO,"$47,746.98"
"WIEDER, DRIGAN D",Orthopedic Surgery,BOULDER,CO,"$47,077.06"
"BLOMQUIST, MATTHEW H",Diagnostic Radiology,BOULDER,CO,"$46,937.34"
"WILLIAMS, WILLIAM J",Orthopedic Surgery,BOULDER,CO,"$46,055.86"
"ROTER, DAVID L",Orthopedic Surgery,BOULDER,CO,"$45,945.89"
"GRAFF, KARIN B",Family Practice,BOULDER,CO,"$45,606.11"
"ARENDS, GREGORY N",Physical Medicine and Rehabilitation,BOULDER,CO,"$45,008.88"
"HADLEY, DANIEL C",Family Practice,BOULDER,CO,"$44,974.63"
"CROPP, CAROL",Physical Therapist,BOULDER,CO,"$43,512.79"
"NESSENTHALER, GEORGE R",Physical Therapist,BOULDER,CO,"$43,452.96"
"BRUBAKER, WILLIAM H",Internal Medicine,BOULDER,CO,"$43,371.96"
"MONTOYA, ANNETTE M",Nurse Practitioner,BOULDER,CO,"$42,880.62"
"HUANG, SHIRLEY A",Internal Medicine,BOULDER,CO,"$42,653.55"
"HUNDEMANN, LAURA B",Physician Assistant,BOULDER,CO,"$42,365.45"
"VANZURA, ERIC J",Family Practice,BOULDER,CO,"$41,743.49"
"SCATENA, LISA H",Dermatology,BOULDER,CO,"$41,648.10"
"REPINE, MICHAEL",Orthopedic Surgery,BOULDER,CO,"$41,126.39"
"HANDY, TERRI L",Physical Therapist,BOULDER,CO,"$40,817.45"
"MCCLURE, MARY",Physical Therapist,BOULDER,CO,"$40,730.41"
"HESS, STEPHANIE L",Family Practice,BOULDER,CO,"$40,110.59"
"SMOUSE, JASON H",Pathology,BOULDER,CO,"$39,407.71"
"GOLD, CHARLES C",Physical Therapist,BOULDER,CO,"$38,775.70"
"GREEN, JUSTIN D",Physical Medicine and Rehabilitation,BOULDER,CO,"$38,605.97"
"CARPENTER, JULIET A",Family Practice,BOULDER,CO,"$38,337.63"
"SENG, KHEMARIN R",Orthopedic Surgery,BOULDER,CO,"$37,816.57"
"MUNCH, LARRY C",Urology,BOULDER,CO,"$36,958.15"
"MILLIFF, JANE",Physical Therapist,BOULDER,CO,"$36,760.50"
"GARMANY, GEORGE P",Neurology,BOULDER,CO,"$35,949.13"
"BAUGH, DENISE",Physical Therapist,BOULDER,CO,"$35,938.98"
"SPERRY, CORYDON",Family Practice,BOULDER,CO,"$35,904.54"
"MARS, BRENNAN L",Clinical Psychologist,BOULDER,CO,"$35,812.91"
"ANDREWS, KAREN M",Allergy/Immunology,BOULDER,CO,"$35,699.86"
"HICKEY, MARK G",Neurology,BOULDER,CO,"$35,283.53"
"MAO, JIE",Interventional Radiology,BOULDER,CO,"$35,279.94"
"ALBUISSON, JESKA",Internal Medicine,BOULDER,CO,"$35,049.41"
"BANERJEE, MONI",Physician Assistant,BOULDER,CO,"$34,987.56"
"KERN, DEBORAH L",Family Practice,BOULDER,CO,"$34,451.50"
"BOWLES, CHARLES R",Diagnostic Radiology,BOULDER,CO,"$34,278.48"
"WALLACE, HILARY",Internal Medicine,BOULDER,CO,"$34,268.42"
"LAJAUNIE, MICHELE M",Diagnostic Radiology,BOULDER,CO,"$33,768.05"
"TURNER, TODD D",Infectious Disease,BOULDER,CO,"$33,754.50"
"FULKERSON, LORRI J",Orthopedic Surgery,BOULDER,CO,"$33,616.08"
"BASKETT, JOANNA",Physician Assistant,BOULDER,CO,"$33,157.20"
"PADDACK, CHARLES",Psychiatry,BOULDER,CO,"$32,514.03"
"RANCIS, SUSAN L",Physician Assistant,BOULDER,CO,"$32,501.48"
"JUENEMANN, SHANE A",Family Practice,BOULDER,CO,"$31,945.66"
"WALDRON, AUDREY M",Physical Therapist,BOULDER,CO,"$31,385.23"
"DAVIS, SCOTT W",Internal Medicine,BOULDER,CO,"$31,384.99"
"THAYER, DAVID O",Obstetrics/Gynecology,BOULDER,CO,"$30,590.35"
"GUTHKE, KIMBERLY",Physician Assistant,BOULDER,CO,"$30,323.50"
"DEROOS, OLAF",Physical Therapist,BOULDER,CO,"$30,271.33"
"SWANN, SCOTT A",Physical Therapist,BOULDER,CO,"$30,133.13"
"PARKS, TARA T",Podiatry,BOULDER,CO,"$30,127.89"
"WEBER, PHILIP F",Family Practice,BOULDER,CO,"$29,872.49"
"PESKIN, ED",Physical Therapist,BOULDER,CO,"$29,756.05"
"SHEA, BRIAN T",Family Practice,BOULDER,CO,"$29,026.37"
"GUNTER, JEFFREY A",Emergency Medicine,BOULDER,CO,"$29,003.40"
"CHRISTENSEN, JENNIFER",Internal Medicine,BOULDER,CO,"$28,992.92"
"NUNEMAKER, KATHY",Speech Language Pathologist,BOULDER,CO,"$28,952.32"
"OVERY, RUSSELL",Physical Therapist,BOULDER,CO,"$28,845.92"
"HORNER, JILLIAN E",Family Practice,BOULDER,CO,"$28,702.62"
"O'SHEA, RENEE",Nurse Practitioner,BOULDER,CO,"$28,678.74"
COLORADO SLEEP COMPANY,Independent Diagnostic Testing Facility,BOULDER,CO,"$28,634.70"
"PUJET, HEATHER C",Infectious Disease,BOULDER,CO,"$28,532.66"
"PAUL, STEPHEN D",Orthopedic Surgery,BOULDER,CO,"$28,501.46"
"HANNA, DOUGLAS L",Physical Therapist,BOULDER,CO,"$28,447.70"
"DAARUD, RICHARD S",Family Practice,BOULDER,CO,"$28,405.47"
"CAMPBELL, JOHN R",Physician Assistant,BOULDER,CO,"$28,312.95"
"MUZNY, LISE C",Family Practice,BOULDER,CO,"$27,316.44"
"JACK, STAN K",Family Practice,BOULDER,CO,"$27,193.57"
"DOUGHERTY, JAMES",Physician Assistant,BOULDER,CO,"$26,886.50"
"MILLER, STEPHEN M",Diagnostic Radiology,BOULDER,CO,"$26,830.74"
"LIPETZ, VALERIE E",Internal Medicine,BOULDER,CO,"$26,725.20"
"JANOWSKI, LAWRENCE S",Internal Medicine,BROOMFIELD,CO,"$244,672.98"
"MAHALINGAM, INDIRA",Internal Medicine,BROOMFIELD,CO,"$139,132.63"
"SMITH, CHRISTOPHER M",Dermatology,BROOMFIELD,CO,"$134,162.41"
NATIONAL HISTOLORY PREP INC,Slide Preparation Facility,BROOMFIELD,CO,"$128,260.61"
WESTERN AMBULANCE INC,Ambulance Service Supplier,BROOMFIELD,CO,"$116,226.05"
"BRADEN, ROBIN D",Physical Therapist,BROOMFIELD,CO,"$56,732.57"
"CASEY, WILLIAM B",Pulmonary Disease,BROOMFIELD,CO,"$54,361.31"
"RETTIG, ROGER C",Physical Therapist,BROOMFIELD,CO,"$51,639.22"
"WICKERSHAM, NICHOLAS W",Diagnostic Radiology,BROOMFIELD,CO,"$51,183.91"
"METZGER, ANNE M",Optometry,BROOMFIELD,CO,"$49,192.47"
"CRUSE, SUSAN E",Internal Medicine,BROOMFIELD,CO,"$47,936.73"
"KING, JUSTIN M",Otolaryngology,BROOMFIELD,CO,"$47,042.08"
"DRENNAN, DANIEL A",Pain Management,BROOMFIELD,CO,"$43,113.30"
"FORMAN, BRIAN N",Physical Therapist,BROOMFIELD,CO,"$43,050.27"
"RITZMANN, SHARI L",Physical Therapist,BROOMFIELD,CO,"$41,897.11"
"FREMLING, MITCHELL A",Plastic and Reconstructive Surgery,BROOMFIELD,CO,"$41,061.92"
"LIEBENTRITT, MATTHEW A",Family Practice,BROOMFIELD,CO,"$40,148.92"
"DRENNING, ROBERT",Physical Therapist,BROOMFIELD,CO,"$38,850.82"
"DEHLER, JANET O",Emergency Medicine,BROOMFIELD,CO,"$37,793.22"
"BAGLEY, MICHAEL C",Orthopedic Surgery,BROOMFIELD,CO,"$36,582.91"
"LEISTIKOW, DAVID C",Family Practice,BROOMFIELD,CO,"$36,196.84"
"IANNOTTI, MICHAEL R",Family Practice,BROOMFIELD,CO,"$34,708.89"
"CENTENO, CHRISTOPHER J",Physical Medicine and Rehabilitation,BROOMFIELD,CO,"$32,553.25"
"KASSEL, ANDREW S",Podiatry,BROOMFIELD,CO,"$29,650.11"
"GEORGE, SARA A",Family Practice,BROOMFIELD,CO,"$27,750.70"
"STIEB, JEFFREY",Physical Therapist,BROOMFIELD,CO,"$25,460.67"
"FOX, NICOLE E",Physical Therapist,BROOMFIELD,CO,"$25,226.23"
"LUND, MARA L",Physical Therapist,BROOMFIELD,CO,"$24,538.39"
"STOKES, JEAN N",Physical Therapist,BROOMFIELD,CO,"$24,499.87"
"TROJANOVICH, CHRISTOPHER A",Internal Medicine,BROOMFIELD,CO,"$22,533.52"
"KOFFLER, BREANA L",Physical Therapist,BROOMFIELD,CO,"$20,400.09"
"SCHULTZ, JOHN R",Interventional Pain Management,BROOMFIELD,CO,"$18,358.82"
"POPE, CHARLES J",CRNA,BROOMFIELD,CO,"$18,202.03"
"ZAJAC, SARA",Physical Therapist,BROOMFIELD,CO,"$17,957.95"
"HANSON, RONALD W",Family Practice,BROOMFIELD,CO,"$17,390.08"
"HAGEN, EDWARD M",Optometry,BROOMFIELD,CO,"$16,946.08"
"GREER, RAYANN L",Physical Therapist,BROOMFIELD,CO,"$16,899.53"
"WOSLAGER, BRETT J",Physical Therapist,BROOMFIELD,CO,"$14,223.97"
"KAWECKI, DENISE S",Nurse Practitioner,BROOMFIELD,CO,"$14,017.90"
"HONEY, HEATHER L",Family Practice,BROOMFIELD,CO,"$13,501.17"
SAFEWAY INC,Mass Immunization Roster Biller,BROOMFIELD,CO,"$12,359.36"
"JORDAN, LISA",Optometry,BROOMFIELD,CO,"$12,310.23"
"KUSKIE, KURT",Optometry,BROOMFIELD,CO,"$10,805.91"
"SCOTT, JOHN A",Clinical Psychologist,BROOMFIELD,CO,"$10,445.83"
"TAYLOR, SCOTT W",Podiatry,BROOMFIELD,CO,"$10,122.83"
"SNYDER, RANDY B",Chiropractic,BROOMFIELD,CO,"$9,968.08"
"WARHURST, CRAIG E",Chiropractic,BROOMFIELD,CO,"$9,335.32"
"GRAVES, ERIC A",Chiropractic,BROOMFIELD,CO,"$8,513.76"
"VANDERKOOI, RUTH A",Family Practice,BROOMFIELD,CO,"$8,329.93"
"MIHELICH, JOHN N",Optometry,BROOMFIELD,CO,"$7,903.94"
"BOS, RACHEL",Family Practice,BROOMFIELD,CO,"$7,605.53"
"KRUEGER, KATIE M",Physician Assistant,BROOMFIELD,CO,"$6,834.08"
"SMITH, CINDY",Family Practice,BROOMFIELD,CO,"$6,826.17"
"DARNELL, JAMES R",Chiropractic,BROOMFIELD,CO,"$6,815.21"
"MURPHY, MARY ANNE C",Optometry,BROOMFIELD,CO,"$6,453.84"
DILLON COMPANIES INC,Mass Immunization Roster Biller,BROOMFIELD,CO,"$5,578.00"
"LOHMEYER, NATHAN",Optometry,BROOMFIELD,CO,"$5,363.77"
"LINDEMAN, JOEL",Chiropractic,BROOMFIELD,CO,"$4,651.47"
"MARKEL, WILLIAM R",Family Practice,BROOMFIELD,CO,"$4,382.10"
"SEAGRAVES, SANDRA K",Optometry,BROOMFIELD,CO,"$4,326.83"
"VAIR, CINDY F",Physical Therapist,BROOMFIELD,CO,"$4,102.97"
"BAKER, EMILY J",Optometry,BROOMFIELD,CO,"$3,518.25"
SAFEWAY INC,Mass Immunization Roster Biller,BROOMFIELD,CO,"$3,370.11"
"LEHMAN, DEVERNE C",Chiropractic,BROOMFIELD,CO,"$2,765.56"
"CANINO, JAMIE N",Physician Assistant,BROOMFIELD,CO,"$2,706.36"
"SCHULTZ, AMANDA M",Physician Assistant,BROOMFIELD,CO,"$2,638.82"
"HILL, JAMES R",Family Practice,BROOMFIELD,CO,"$2,537.53"
DILLON COMPANIES INC,Mass Immunization Roster Biller,BROOMFIELD,CO,"$2,497.84"
WALGREEN CO,Mass Immunization Roster Biller,BROOMFIELD,CO,"$2,273.35"
"HOLM, WENDY S",Physician Assistant,BROOMFIELD,CO,"$2,237.19"
"BISHOP, KARA R",Chiropractic,BROOMFIELD,CO,"$2,158.83"
"SUYAK, JOHN R",Chiropractic,BROOMFIELD,CO,"$1,920.28"
"RICHARDSON, BRADLEY L",Chiropractic,BROOMFIELD,CO,"$1,896.96"
"BORMAN, BONNIE M",Chiropractic,BROOMFIELD,CO,"$1,890.86"
"UPDYKE, REBECCA E",Chiropractic,BROOMFIELD,CO,"$1,623.73"
"BARNES, KIMBERLEE I",Obstetrics/Gynecology,BROOMFIELD,CO,"$1,491.50"
"KANDEL, ELISABETH E",Family Practice,BROOMFIELD,CO,"$1,419.75"
DILLON COMPANIES INC,Mass Immunization Roster Biller,BROOMFIELD,CO,"$1,241.00"
"PIPKIN, SHIRA L",Optometry,BROOMFIELD,CO,"$1,012.14"
"SMITH, CLINTON M",CRNA,BROOMFIELD,CO,$944.08
METWEST INC,Clinical Laboratory,DENVER,CO,"$14,601,141.77"
ROCKY MOUNTAIN TOX LLC,Clinical Laboratory,DENVER,CO,"$8,667,932.01"
SCHRYVER MEDICAL SALES AND MARKETING INC.,Clinical Laboratory,DENVER,CO,"$3,866,454.58"
DENVER HEALTH AND HOSPITAL AUTHORITY,Ambulance Service Supplier,DENVER,CO,"$3,007,021.50"
"APP-UNIPATH, LLC",Clinical Laboratory,DENVER,CO,"$1,872,510.41"
SCHRYVER MEDICAL SALES AND MARKETING INC.,Portable X-ray,DENVER,CO,"$1,536,548.05"
MADISON STREET SURGERY CENTER LLC,Ambulatory Surgical Center,DENVER,CO,"$1,347,150.86"
"BRAY, VANCE J",Rheumatology,DENVER,CO,"$1,237,910.04"
"GLASSMAN, KENNETH",Rheumatology,DENVER,CO,"$1,232,640.21"
BAKORP LLC,Portable X-ray,DENVER,CO,"$1,164,440.83"
"GROSS, ERIC T",Radiation Oncology,DENVER,CO,"$1,108,632.28"
"KIAN, KAVEH",Nephrology,DENVER,CO,"$1,108,099.57"
"SWINEHART, JAMES",Dermatology,DENVER,CO,"$1,093,006.16"
"HAGEDORN, CURTIS L",Otolaryngology,DENVER,CO,"$1,042,145.55"
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,DENVER,CO,"$1,003,217.46"
"HARVARD PARK SURGERY CENTER, LLC",Ambulatory Surgical Center,DENVER,CO,"$984,012.20"
"HANSON, ALAN S",Nephrology,DENVER,CO,"$965,050.16"
"CHARNEY, MICHAEL",Rheumatology,DENVER,CO,"$935,390.29"
"LIU, MIMI",Ophthalmology,DENVER,CO,"$887,633.38"
"MALYAK, MARK",Rheumatology,DENVER,CO,"$870,558.77"
"RIFKIN, ROBERT M",Hematology/Oncology,DENVER,CO,"$844,725.48"
"NOVAMED SURGERY CENTER OF DENVER, LLC",Ambulatory Surgical Center,DENVER,CO,"$840,866.89"
ROSE AMBULATORY SURGICAL CENTER LP,Ambulatory Surgical Center,DENVER,CO,"$770,829.90"
"HOLMES, DOUGLAS L",Ophthalmology,DENVER,CO,"$767,575.63"
"HOBBS, KATHRYN F",Rheumatology,DENVER,CO,"$751,413.25"
UROLOGY SURGERY CENTER OF COLORADO LLC,Ambulatory Surgical Center,DENVER,CO,"$745,549.32"
"JOONDEPH, BRIAN C",Ophthalmology,DENVER,CO,"$702,479.23"
"JOHNSON, KAREN J",Dermatology,DENVER,CO,"$688,364.28"
"WRIGHT, ROBERT C",Dermatology,DENVER,CO,"$668,349.02"
"HINSHAW, IOANA M",Hematology/Oncology,DENVER,CO,"$625,952.74"
"GENSLER, TIMOTHY",Rheumatology,DENVER,CO,"$617,817.11"
"LOWRY SURGERY CENTER, LLC",Ambulatory Surgical Center,DENVER,CO,"$602,571.47"
"PAUL, DEVCHAND",Medical Oncology,DENVER,CO,"$569,683.26"
"SEDLACEK, SCOT M",Hematology/Oncology,DENVER,CO,"$543,642.12"
"JOHNSON, DAVID W",Ophthalmology,DENVER,CO,"$517,139.93"
"KIMURA, ALAN E",Ophthalmology,DENVER,CO,"$497,042.19"
"KENNEY, THOMAS J",Hematology/Oncology,DENVER,CO,"$471,527.97"
"ZILIS, JOHN D",Ophthalmology,DENVER,CO,"$438,572.44"
"TEETER, MIRIAH M",Ophthalmology,DENVER,CO,"$395,344.73"
"AMIEL, HOWARD",Ophthalmology,DENVER,CO,"$380,040.17"
"COHN, ALLEN L",Hematology/Oncology,DENVER,CO,"$377,997.36"
"FEINER, ALAN S",Hematology/Oncology,DENVER,CO,"$374,967.65"
"MIKHAEEL-KAMEL, NADINE G",Hematology/Oncology,DENVER,CO,"$369,401.78"
"MCALEESE, KELLY A",Diagnostic Radiology,DENVER,CO,"$367,613.10"
"ALTMAN, JOHN D",Cardiology,DENVER,CO,"$361,452.89"
"KASSAN, STUART S",Rheumatology,DENVER,CO,"$359,279.14"
"CHRISTMAS, NANCY J",Ophthalmology,DENVER,CO,"$354,327.71"
"WANG, JASON",Ophthalmology,DENVER,CO,"$346,322.37"
"FESLER, MARK J",Hematology/Oncology,DENVER,CO,"$345,506.95"
"BASCHE, MICHELE L",Medical Oncology,DENVER,CO,"$341,040.71"
"PETTY, STEPHEN T",Ophthalmology,DENVER,CO,"$328,521.10"
"FELDMAN, ALEXANDER",Neurology,DENVER,CO,"$325,738.17"
"SCHRIER, DAVID M",Hematology/Oncology,DENVER,CO,"$323,074.38"
"MATOUS, JEFFREY V",Hematology/Oncology,DENVER,CO,"$323,059.12"
"KORMAN, DAVID S",Rheumatology,DENVER,CO,"$313,643.69"
"BELEN, GARY",Ophthalmology,DENVER,CO,"$312,475.51"
"ANTOLINI, CHRISTOPHER R",Rheumatology,DENVER,CO,"$311,702.16"
"PARKS, EDWARD 'TED' H",Orthopedic Surgery,DENVER,CO,"$301,201.00"
"ZAMORA, JACK A",Ophthalmology,DENVER,CO,"$299,506.47"
DENVER MID-TOWN SURGERY CENTER LTD,Ambulatory Surgical Center,DENVER,CO,"$297,841.03"
"HESS, GARY W",Orthopedic Surgery,DENVER,CO,"$283,331.87"
"JACOBS, JASON M",Ophthalmology,DENVER,CO,"$251,242.71"
"HOVLAND, PETER G",Ophthalmology,DENVER,CO,"$250,761.92"
"POPHAM, JERRY K",Ophthalmology,DENVER,CO,"$247,598.04"
"RICHHEIMER, WILLIAM E",Ophthalmology,DENVER,CO,"$247,172.62"
"SUBBARAO, VIJAY D",Cardiology,DENVER,CO,"$246,547.93"
"PTASNIK, MICHAEL J",Cardiology,DENVER,CO,"$245,729.46"
"DUNN, TERRY S",Obstetrics/Gynecology,DENVER,CO,"$245,571.79"
"SMITH, BRIAN R",Urology,DENVER,CO,"$245,288.80"
"STANLEY, SCOTT K",Orthopedic Surgery,DENVER,CO,"$239,716.11"
"DEMIDOVICH, CARL W",Dermatology,DENVER,CO,"$233,656.96"
"BRUNVAND, MARK W",Hematology/Oncology,DENVER,CO,"$230,964.89"
"MEHTA, SAMEER K",Cardiology,DENVER,CO,"$229,479.44"
"KIM, RAYMOND H",Orthopedic Surgery,DENVER,CO,"$226,315.62"
"REED, BARBARA R",Dermatology,DENVER,CO,"$226,137.33"
"HORTON, CHRISTOPHER S",Family Practice,DENVER,CO,"$226,069.45"
"CHEBANOVA, ELENA",Internal Medicine,DENVER,CO,"$220,614.65"
"REEVES, DIANA",Ophthalmology,DENVER,CO,"$220,348.05"
DENVER ENDOCOPY CENTER LLC,Ambulatory Surgical Center,DENVER,CO,"$218,752.68"
"MALATESTA, JUANA C",Clinical Psychologist,DENVER,CO,"$218,306.96"
"MCSWEENEY, PETER A",Hematology/Oncology,DENVER,CO,"$217,147.40"
"HAVARD, LESLIE J",Dermatology,DENVER,CO,"$216,624.58"
"DENNIS, DOUGLAS A",Orthopedic Surgery,DENVER,CO,"$214,586.29"
"SREBNIAK, JERZY",Physical Therapist,DENVER,CO,"$213,405.04"
"KATAOKA, TAKESHI",Cardiology,DENVER,CO,"$213,345.01"
"MILLER, MICHAEL L",Ophthalmology,DENVER,CO,"$211,508.46"
"GREGORY, TARA B",Hematology/Oncology,DENVER,CO,"$210,559.77"
"HOWELL, KATHRYN T",Radiation Oncology,DENVER,CO,"$209,792.74"
"BEARMAN, SCOTT I",Hematology/Oncology,DENVER,CO,"$207,610.61"
"SVINARICH, JOHN T",Cardiology,DENVER,CO,"$205,058.88"
"HINES, WILLIAM L",Ophthalmology,DENVER,CO,"$204,242.85"
"HAAS, BRIAN D",Orthopedic Surgery,DENVER,CO,"$203,703.06"
"JOHNSON, DEREK R",Orthopedic Surgery,DENVER,CO,"$203,158.22"
"SMITH, BARRY R",Cardiology,DENVER,CO,"$202,508.78"
"SCHLEVE, MILTON J",Dermatology,DENVER,CO,"$199,543.14"
"HATZIDAKIS, ARMODIOS M",Orthopedic Surgery,DENVER,CO,"$199,119.34"
"SROCK, KATHLEEN",Rheumatology,DENVER,CO,"$198,882.12"
"SHUKLA, SALIL",Ophthalmology,DENVER,CO,"$198,844.80"
"WEISS, JEREMY L",Urology,DENVER,CO,"$197,868.01"
HAND SURGERY OF COLORADO LLC,Ambulatory Surgical Center,DENVER,CO,"$197,219.78"
"RUYLE, STEPHEN R",Urology,DENVER,CO,"$194,335.23"
"BORISOV, IGOR",Internal Medicine,DENVER,CO,"$194,091.84"
"CALANDRO, VITO J",Internal Medicine,DENVER,CO,"$191,824.16"
"O'BRIEN, BRIDGET L",Cardiology,DENVER,CO,"$191,101.65"
"WOLFF, ADAM J",Neurology,DENVER,CO,"$188,734.52"
"PATTERSON, JAMES A",Ophthalmology,DENVER,CO,"$187,391.19"
"ANCHERIL, SAM N",Pulmonary Disease,DENVER,CO,"$187,334.17"
"FANTE, ROBERT G",Ophthalmology,DENVER,CO,"$181,557.61"
"HEPPE, RICHARD K",Urology,DENVER,CO,"$181,344.87"
"KOUYOUMDJIAN, GREGORY A",Ophthalmology,DENVER,CO,"$180,727.75"
"LEVINSON, RICHARD A",Ophthalmology,DENVER,CO,"$180,640.50"
"WENDEL, KAREN A",Infectious Disease,DENVER,CO,"$178,357.76"
"STARRITT, RITA",Internal Medicine,DENVER,CO,"$177,773.78"
"REINER, SETH D",Radiation Oncology,DENVER,CO,"$177,689.12"
"LIAO, PEGGY",Dermatology,DENVER,CO,"$177,598.01"
"ABERNATHY, BRETT B",Urology,DENVER,CO,"$175,396.07"
"GRUSHAN, MARC",Family Practice,DENVER,CO,"$174,870.24"
"LEWIS, STUART A",Ophthalmology,DENVER,CO,"$174,638.88"
"AMMONS, JOHN T",Ophthalmology,DENVER,CO,"$174,408.29"
